prefix,first_edit,last_edit,count_users,count_pages,count_edits,sum_newver,sum_score,sum_scoredif,scoredif_per_edit
Family,2006-10-06,2025-10-04,9485,1196608,6147875,1196665,21179314,2929042,0.476431612549051
Person,2006-10-05,2025-10-04,10289,3187795,7670046,3188544,67593999,20903074,2.72528665408265
TOTAL,2006-10-05,2025-10-04,10952,4384403,13817921,4385209,88773313,23832116
